=== PROFILE CONFIG ===
=== P7_HMM ===
	B	0.0788	0.0152	0.0535	0.0668	0.0397	0.0695	0.0229	0.0590	0.0594	0.0964	0.0238	0.0414	0.0483	0.0396	0.0541	0.0683	0.0541	0.0673	0.0114	0.0304	
0	M	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	1.0000	0.0000	
1	M	0.0557	0.0089	0.0483	0.0619	0.0401	0.0347	0.2479	0.0281	0.0722	0.0460	0.0163	0.0410	0.0200	0.0429	0.0551	0.0518	0.0412	0.0365	0.0093	0.0420	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
2	M	0.0557	0.0089	0.0483	0.0619	0.0401	0.0347	0.2479	0.0281	0.0722	0.0460	0.0163	0.0410	0.0200	0.0429	0.0551	0.0518	0.0412	0.0365	0.0093	0.0420	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
3	M	0.0452	0.0098	0.0252	0.0336	0.0992	0.0246	0.0279	0.0441	0.0387	0.0741	0.0222	0.0275	0.0152	0.0277	0.0315	0.0390	0.0339	0.0504	0.0193	0.3110	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
4	M	0.0452	0.0098	0.0252	0.0336	0.0992	0.0246	0.0279	0.0441	0.0387	0.0741	0.0222	0.0275	0.0152	0.0277	0.0315	0.0390	0.0339	0.0504	0.0193	0.3110	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
5	M	0.0525	0.0123	0.0154	0.0226	0.0367	0.0194	0.0107	0.2940	0.0270	0.1469	0.0383	0.0174	0.0124	0.0188	0.0219	0.0324	0.0388	0.1565	0.0057	0.0203	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
6	M	0.0525	0.0123	0.0154	0.0226	0.0367	0.0194	0.0107	0.2940	0.0270	0.1469	0.0383	0.0174	0.0124	0.0188	0.0219	0.0324	0.0388	0.1565	0.0057	0.0203	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
7	M	0.0480	0.0108	0.0181	0.0258	0.0450	0.0215	0.0130	0.0999	0.0326	0.3598	0.0422	0.0194	0.0136	0.0219	0.0269	0.0333	0.0355	0.0991	0.0072	0.0264	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
8	M	0.3063	0.0159	0.0348	0.0430	0.0193	0.0513	0.0153	0.0470	0.0424	0.0527	0.0185	0.0360	0.0247	0.0298	0.0328	0.0823	0.0628	0.0651	0.0046	0.0154	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
9	M	0.0562	0.0069	0.3370	0.1022	0.0130	0.0436	0.0214	0.0201	0.0545	0.0291	0.0109	0.0590	0.0229	0.0457	0.0331	0.0575	0.0401	0.0284	0.0040	0.0144	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
10	M	0.0714	0.0098	0.0700	0.0792	0.0188	0.0444	0.0214	0.0257	0.0646	0.0360	0.0138	0.2549	0.0232	0.0442	0.0456	0.0664	0.0489	0.0370	0.0050	0.0196	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
11	M	0.3063	0.0159	0.0348	0.0430	0.0193	0.0513	0.0153	0.0470	0.0424	0.0527	0.0185	0.0360	0.0247	0.0298	0.0328	0.0823	0.0628	0.0651	0.0046	0.0154	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
12	M	0.3063	0.0159	0.0348	0.0430	0.0193	0.0513	0.0153	0.0470	0.0424	0.0527	0.0185	0.0360	0.0247	0.0298	0.0328	0.0823	0.0628	0.0651	0.0046	0.0154	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
13	M	0.0525	0.0123	0.0154	0.0226	0.0367	0.0194	0.0107	0.2940	0.0270	0.1469	0.0383	0.0174	0.0124	0.0188	0.0219	0.0324	0.0388	0.1565	0.0057	0.0203	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
14	M	0.0480	0.0108	0.0181	0.0258	0.0450	0.0215	0.0130	0.0999	0.0326	0.3598	0.0422	0.0194	0.0136	0.0219	0.0269	0.0333	0.0355	0.0991	0.0072	0.0264	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
15	M	0.0729	0.0124	0.0401	0.0478	0.0176	0.0458	0.0162	0.0284	0.0455	0.0409	0.0143	0.0348	0.3474	0.0307	0.0353	0.0618	0.0472	0.0401	0.0052	0.0156	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
16	M	0.0480	0.0108	0.0181	0.0258	0.0450	0.0215	0.0130	0.0999	0.0326	0.3598	0.0422	0.0194	0.0136	0.0219	0.0269	0.0333	0.0355	0.0991	0.0072	0.0264	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
17	M	0.0729	0.0124	0.0401	0.0478	0.0176	0.0458	0.0162	0.0284	0.0455	0.0409	0.0143	0.0348	0.3474	0.0307	0.0353	0.0618	0.0472	0.0401	0.0052	0.0156	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
18	M	0.0789	0.0133	0.0411	0.0460	0.0148	0.3991	0.0150	0.0226	0.0390	0.0315	0.0118	0.0349	0.0245	0.0279	0.0305	0.0666	0.0491	0.0354	0.0048	0.0134	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
19	M	0.0557	0.0088	0.0344	0.0546	0.0173	0.0336	0.0234	0.0275	0.1097	0.0438	0.0160	0.0379	0.0202	0.0505	0.3138	0.0508	0.0423	0.0361	0.0056	0.0181	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
	T	0.9655	0.0232	0.0113	0.5382	0.4618	0.6152	0.3848	
20	M	0.0943	0.0149	0.0355	0.0456	0.0207	0.0476	0.0163	0.0502	0.0483	0.0573	0.0198	0.0364	0.0237	0.0324	0.0372	0.0772	0.2538	0.0673	0.0049	0.0166	
	I	0.0681	0.0120	0.0623	0.0651	0.0313	0.0903	0.0241	0.0371	0.0687	0.0676	0.0143	0.0548	0.0647	0.0415	0.0551	0.0927	0.0623	0.0505	0.0102	0.0269	
